title,text,subject,date,reliable
BUSTED: Leaked Documents Prove Trump Took Laundered Money From Russian Bank,"Convincing President Trump to release his tax returns is proving slightly more difficult than we initially anticipated, but that doesn t mean there haven t been any signs of success from taking the longer route. Take, for example, a 98-page document recently released by the United States Office of Government Ethics.The document, available in its entirety here, clearly shows that not only is Donald Trump outright profiting from the presidency, a direct violation of the Emoluments Clause of the United States Constitution but also that he is in debt to several banks, both domestic and foreign.Although shocking news, none of this particularly comes as a surprise, more or less just confirms what most of us already suspected. However, it s when you delve into the details that you discover the true significance of the President s possible under-the-table actions.German-based Deutsche Bank was served with $630 million in penalties back in January for a $10 billion Russian money laundering scheme involving it s Moscow and New York branches among others. Deutsche Bank also gave Trump four questionable long-term  loans,  potentially Russian money that s been handed to Trump, the final loan given just before the commencement of the presidential election and used to help fund the Trump International Hotel that opened in Washington DC last year.Obviously, this interaction between Trump and Deutsche Bank should raise more than just a few red flags, at least confirming that there is a possibility that the Russians laundered money to Trump as he began his campaign and just prior to hiring senior advisors with ties to the Russian government.Furthermore, Deutsche Bank is gaining somewhat of a reputation for their shady business dealings as well. Not only were they caught in the Russian laundering scheme, the bank also struck a $7.2 billion deal with the US government last December to settle claims for toxic mortgages they packaged and sold between 2005 and 2007, as well as paying $2.5 billion in April 2015 to settle charges it conspired to manipulate global interest rate benchmarks.It s interesting, yet not at all surprising, how corrupt people and organizations just seem to gravitate toward each other.Featured image via Getty/Drew Angerer and screenshot",News,"November 13, 2017",0
"After euro zone, Germany's Schaeuble faces new challenge in far-right","BERLIN (Reuters) - In his eight years as German finance minister, Wolfgang Schaeuble earned a reputation in the euro zone as a feisty disciplinarian, insisting on painful austerity measures for debt-ridden countries like Greece. Now poised to become president of Germany s lower house of parliament, the Bundestag, Schaeuble, 75, will instead try to impose discipline on fractious lawmakers, including a far-right, eurosceptic party, following Sunday s federal election. As custodian of Germany s public finances, Schaeuble has proven a trusted, if awkward, ally for Chancellor Angela Merkel, securing for her the support of skeptical lawmakers on the right of their conservative bloc for three Greek bailouts - a feat he achieved by ensuring the aid came with hairshirt austerity. By agreeing to move to the Bundestag, Schaeuble has opened the way for the liberal Free Democrats (FDP) to take over his coveted ministry, helping to unblock talks on a new three-way coalition likely also to include the Greens. To the alarm of Merkel s conservatives, the far-right Alternative for Germany (AfD) is now the third largest party in the Bundestag - and the highly experienced, resilient Schaeuble is viewed as the best qualified to tame recalcitrant lawmakers. Leading AfD candidate Alexander Gauland has vowed his party would  hunt  the new government, whatever its make-up. Already Germany s longest serving lawmaker, Schaeuble brings to his new job a fierce intellect, constitutional expertise and a sharp tongue he is not afraid to use, even against Merkel.  Do you know what you are doing?  he recalled asking her when she sounded him out about becoming finance minister in 2009.  I m loyal ... but uncomfortable.  So it has proved. Once Merkel s boss before their roles were reversed, Schaeuble dominated Germany s policy response to the euro zone crisis and intervened when he felt the chancellor was on the wrong track - and not only in the field of finance. In November 2015, soon after Merkel opened Germany s borders to migrants pouring in from the Middle East, he said the country risked facing  an avalanche  of refugees triggered by  careless  actions. He subsequently defended Merkel s open-door migrant policy, however, accusing the AfD of fuelling fears.  So far, there is no one in Germany who has received one euro less for his family or his children because refugees have come here,  he said last September. Calling out the AfD in that way will now be a full-time job for Schaeuble, a man who has devoted his career to reunifying Germany and securing its place in a European project he has long championed and tried to strengthen, however controversially in the eyes of many Greeks and others. His laser-like focus on budgetary rigor has seen Germany run a budget surplus for the last three years, though critics say his insistence on austerity policies deepened the euro zone crisis and hampered its economic recovery. Although he is relinquishing the powerful finance ministry, as Bundestag president Schaeuble will technically outrank Merkel. The position ranks second in the state hierarchy after the president of the republic and ahead of the chancellor. He has outranked her before: As head of their Christian Democratic Union (CDU) in 1998 following then-chancellor Helmut Kohl s election loss, Schaeuble named Merkel as his deputy. It was a pairing that would last less than a year and a half. Caught up in a party funding scandal surrounding Kohl, he was forced to resign as party leader in 2000, with Merkel taking over. But Schaeuble is a survivor. Wheelchair-bound since a deranged man shot him at an election campaign event a few days after German reunification in 1990, he lives for the job and signaled before the election his readiness to stay in politics. This drive has won the respect of fellow conservatives and lawmakers from other parties, who want him to bring his unparalleled weight to the role of Bundestag president, normally a low-profile position.  A brilliant speaker with natural authority, he also possesses the tactical wit to rein in AfD MPs if they were to stage calculated affronts against established political culture,  said Carsten Nickel of Teneo Intelligence. Despite his conservative views on financial matters, Schaeuble has been a leading voice calling for better integration of Muslims into German society. As German interior minister in 2006, Schaeuble founded the German Islam Conference. At a 10th anniversary celebration last year, he said there was no question that  Islam belongs to Germany,  but he also underscored the importance of cracking down on criminals and terrorists among the migrants who entered the country. Economic policymakers in southern Europe longing to see the back of him may come to regret his departure as the FDP - now likely to take the finance ministry - is even more hawkish than Schaeuble. The pro-business FDP wants euro zone countries to be able to leave the currency bloc rather than stay under an  interminable rescue policy , and it favors winding down the lending capacity of the euro zone s ESM rescue fund.  Schaeuble is one of the most pro-European politicians that I know, so from a common eurozone perspective it couldn t go better with someone else, let alone an FDP minister,  said one euro zone official.",worldnews,"September 27, 2017",1
Exclusive: U.S. expected to impose fresh sanctions on Iranian entities - sources,"WASHINGTON (Reuters) - The United States is expected to impose sanctions on multiple Iranian entities as early as Friday following Tehran’s recent ballistic missile test, but in a way that will not violate the 2015 Iran nuclear deal, sources familiar with the matter said on Thursday. One source, who spoke on condition of anonymity, said about eight Iranian entities were to be sanctioned, or “designated” in U.S. legal jargon, for terrorism-related activities and about 17 for ballistic missile-related activities under separate existing U.S. executive orders. The source declined to name the entities. The sources said the new sanctions had been in the works for some time and that Iran’s decision to test-fire a ballistic missile on Sunday had helped to trigger U.S. President Donald Trump’s decision to impose them. The White House signaled a newly aggressive stance toward Iran on Wednesday when Michael Flynn, Trump’s national security adviser, made a statement putting Iran “on notice” for test-firing the missile and senior U.S. officials said the administration was reviewing how to respond. The new sanctions may be the leading edge of a tougher policy but the sources stressed that the United States was imposing them in a manner so as not to conflict with the 2015 Iran nuclear deal under which Tehran agreed to curb its nuclear program in return for relief from economic sanctions. Trump said earlier on Thursday that “nothing is off the table” in dealing with Iran following the missile launch, and his fellow Republicans in Congress said they would back him up with new sanctions. Trump’s comment was in response to a question about whether he would consider military options to respond to Tehran, a day after Flynn’s comment about putting Iran “on notice.” The sanctions are not likely to have much, if any, practical effect on the Iranian entities or on U.S. companies or individuals who are, with few exceptions, barred from dealing with Iran. The sanctions are to be imposed under Executive Order 13224, which freezes the U.S. assets of entities or individuals who commit, threaten to commit, or support terrorism, and Executive Order 13382, which freezes the assets of weapons of mass destruction proliferators or their supporters. Given the long history of U.S. sanctions against Tehran dating to the 1979 Islamic Revolution, there are unlikely to be any assets under U.S. jurisdiction to be blocked. However, the sanctions could have the effect of dissuading foreign companies from dealing with the Iranian entities who are designated, said Brookings Institution analyst Robert Einhorn. Spokespeople for the White House, the State Department and the Treasury Department had no immediate comment.",politicsNews,"February 2, 2017",1
Brazil's Meirelles has hired media team ahead of 2018 election: sources,"BRASILIA (Reuters) - Brazil s Finance Minister Henrique Meirelles has hired social media experts to boost his image ahead of the 2018 election, three sources told Reuters on Wednesday, the strongest sign yet that the former banker is seriously eyeing a run for president. Meirelles hired analysts linked to the Get lio Vargas Foundation (FGV) think tank to study his social media presence on a daily basis and build a communication plan, said one of the sources. The sources requested anonymity because they were not authorized to speak publicly about the matter.  They have been working for Meirelles for more than three months, two of the sources said. The Finance Ministry s press office declined comment on Meirelles behalf.  The finance minister s potential candidacy adds to political uncertainty ahead of a presidential election marked by a strong anti-establishment climate and a lack of clear favorites.  Meirelles, praised by investors for leading a market-friendly agenda of economic reforms, would have to leave his post by April, six months before the election, and could face a wide field of competitive candidates in a first-round vote. One of the analysts hired by Meirelles works alongside the ministry s official communication team in Brasilia, although the FGV team has not received any public funds for supporting his potential candidacy, two of the sources said.  The team includes Thomas Traumann, a former spokesman for impeached President Dilma Rousseff, according one of the sources and another person familiar with the matter. Traumann confirmed to Reuters that he had consulted for Meirelles under private contract since 2015, but he did not work for the Finance Ministry. He declined to comment on potential preparations for next year s presidential race. The Finance Ministry said FGV has offered consultancy on social media to the ministry as part of a 40-year-long initiative of institutional support, without any connection to the 2018 campaign. A  ministry spokeswoman, who asked not to be named in accordance with ministry policy, said it had no relationship with Traumann. FGV said it had not signed a contract with the Finance Ministry or Meirelles. Reuters reported late in August, citing a source close to Meirelles, that Meirelles wanted to run for president but knew he would have a strong chance only if the economy improved substantially after two years of recession.  Congressmen from his Social Democratic Party (PSD) last month heard from Meirelles that he felt honored to have his name floated as a potential candidate. Other potential candidates from within President Michel Temer s fragmented coalition include the governor of Sao Paulo state, Geraldo Alckmin, and Sao Paulo Mayor Joao Doria. Meirelles opened a Twitter account in June to publicize his actions as minister and has recently left the door open for a potential candidacy, saying he would take a decision on the race by April. About 2 percent of voters have declared their intention to vote for him, according to a recent Datafolha poll.  A civil engineer by training, Meirelles is the former president of BankBoston, which was eventually acquired by Bank of America Corp, and a former president of Brazil s central bank.",worldnews,"October 4, 2017",1
REPUBLICAN SENATOR Sends Letter to FBI Director Questioning FBI Relationship to British Spy Who Investigated Trump,"HERE S THE BACKGROUND:On January 11, 2017, the media reported on the existence of a private intelligence dossier containing unverified allegations of misconduct and ties between then President-elect Donald Trump and the Russian government. The dossier was written by a former British MI6 intelligence agent, Christopher Steele, who went into hiding after the release of the dossier.The media and the intelligence community have stressed that accusations in the dossier have not been verified. Most experts treated the dossier with skepticism and caution. Trump himself has denounced the report, calling it  fake news  and  phony.  A Russian government spokesman dismissed the dossier, saying its allegations were false.The document alleges that the Russian Federal Security Service (FSB) has kompromat on Trump   damaging or embarrassing material which could be used to blackmail him, including allegations about Trump s sexual and financial activities in Russia. The dossier also states that the Russian government promoted Trump s candidacy to create divisions in Western alliances, and that during his presidential campaign there was exchange of information between Russian sources and people associated with Trump s campaign.The dossier was produced as part of opposition research during the 2016 United States presidential election. The research was initially funded by Republicans who did not want Trump to be the Republican Party nominee for president. After Trump won the primaries, a Democratic client took over the funding; and, following Trump s election, Steele continued working on the report pro bono.In a Monday letter to FBI Director James Comey, Grassley asked for records pertaining to any agreements the agency may have had with Christopher Steele. The MI6 agent wrote an explosive memo on behalf of Trump s political enemies alleging that the Russians had compromising information on the president.Comey briefed Trump on the existence of the memo in a private meeting in January.Shortly after, several news organizations published the unverified allegations, which the White House denied.In late February, The Washington Post reported that the FBI reached an agreement with Steele whereby the British spy would continue his investigation on behalf of the bureau.Read more The Hill",left-news,"Mar 6, 2017",0
"The Bush Administration Deleted 22 Million Emails, But Trump Won’t Talk About It","Donald Trump loves talking about email scandals, apparently   so then why hasn t he mentioned the millions of emails  lost  by the Bush administration? On April 27, 2007, an estimated five million emails relevant to an ongoing investigation of eight U.S. attorneys being fired were lost. As it turns out that number is closer to 22 million.The New York Times reported:WASHINGTON, April 11   Political advisers to President Bush may have improperly used their Republican National Committee e-mail accounts to conduct official government business, and some communications that are required to be preserved under federal law may be lost as a result, White House officials said Wednesday.Of the 1,000 White House officials with political duties, 22   including Karl Rove, the chief political strategist   have Republican National Committee accounts that are supposed to be used only for campaign-related work.So, while Hillary Clinton has got plenty of attention for emails she lost, the media has  forgotten  about this scandal by the Bush administration. Big surprise, right? It s not like it s relevant, or anything. Condoleezza Rice and Colin Powell also had private email, but we don t talk about that, either. I wonder why? It couldn t have anything to do with the need for ratings, or the need to somehow create a close race between Hillary, who is eminently qualified, and the raging dumpster fire that is Trump, could it?Even more worryingly, many times Cheney s emails were unavailable for weeks at a time, with archives also unavailable. And yet, not a peep from Republicans, and certainly nothing from Donald Trump. It s almost as if, after 30 years of non-scandals failing to go anywhere, they re getting a little bit desperate.Donald Trump, on the other hand, has set the bar lower than ever before when it comes to transparency. He won t release medical records, he won t release tax returns, and he won t reveal his business connections or how he intends to profit from the office of the presidency. His war on the press has made it clear he has no respect for the first amendment or the right to dissent. And his scandals are only just getting started   something tells me investigations of Trump won t be so fruitless.",News,"October 11, 2016",0
RACE-BAITING COP HATERS Dealt Major Blow: Baltimore Judge Finds No Evidence Of Crime Committed Against Freddie Grey,"This is the second major blow today to Obama and his plans to fundamentally transform America. The first blow to Obama was today s US Supreme Court ruling against his unlawful executive amnesty proclamation. Both of these decisions are victories for Americans who are sick and tired of watching our nation being torn apart and divided by racist hate mongers, whose only goal is to build a coalition of Democrat voters A judge explained why he found a police driver not guilty in the death of Freddie Gray, a 25-year-old black man whose neck was broken on the way to the station: He didn t see any evidence of a crime.Baltimore Judge Barry Williams ruled Thursday that the state failed to prove Officer Caesar Goodson committed murder, manslaughter, assault, reckless endangerment or misconduct in office. There has been no evidence that this defendant intended for a crime to happen,  Williams said.  The state had a duty to show the defendant corruptly failed in his duty, not just made a mistake. Goodson s acquittal is the worst blow yet to efforts to hold police accountable in a case that triggered riots in the troubled city. The state s third failure to convict also casts doubt on whether any of the six indicted officers will be found guilty.Baltimore s police union president, Gene Ryan, called on State s Attorney Marilyn Mosby to reconsider her  malicious prosecution,  since he s certain the remaining officers also will be found without guilt.The case became a rallying cry for the growing Black Lives Matter movement and sparked more outrage nationwide over how black people are treated by police and the criminal justice system.But the case hasn t fit quite so neatly into the American narrative of white authorities imposing justice unfairly on black people. In this case, the defendant, trial judge, state s attorney and mayor are African-American; at the time of Gray s death, so was the police chief.After the verdict, Black Lives Matter activist and Baltimore native DeRay Mckesson aimed his criticism at the entire system. Today is a reminder that there is a set of laws, policies and police union contracts across the country that will protect any form of police behavior,  he said.Goodson was the only one of the six officers charged in Gray s death to be accused of murder. He s the second to be found not guilty, and another officer s case ended in a mistrial.Mosby appeared crestfallen as she hurried out of the courthouse and sped away in a black SUV. When she confidently announced the charges last year, she reflected the anger of many people who saw the case as open-and-shut. Via: AP",left-news,"Jun 23, 2016",0
Former CIA chief who urged Iraq war signs on as Trump adviser,"WASHINGTON (Reuters) - Former CIA Director James Woolsey, a vocal advocate of the 2003 U.S.-led invasion of Iraq who promoted allegations that Saddam Hussein harbored illegal weapons, will serve as a senior national security adviser to Republican presidential candidate Donald Trump, the campaign announced on Monday. Woolsey’s hiring contrasted with Trump’s repeated assertions that he was a stalwart opponent of the invasion, although he initially supported it. In the announcement, Woolsey said he supports Trump’s plan to expand the U.S. military, which calls for ending Pentagon budget caps and spending billions of dollars for additional troops, ships and aircraft. “Mr. Trump’s commitment to reversing the harmful defense budget cuts signed into law by the current administration, while acknowledging the need for debt reduction, is an essential step toward reinstating the United States’ primacy in the conventional and digital battlespace,” Woolsey said. Woolsey, who served for two years as CIA chief under then-President Bill Clinton, also criticized the presence of classified information in emails stored on Democratic candidate Hillary Clinton’s private server. In an appearance on CNN, however, he called Trump’s plan to temporarily ban Muslims from entering the United States “a bad decision.” He also has warned about the threats posed by climate change, something Trump has called a hoax that benefits China. Woolsey was an outspoken proponent of the Iraq invasion, suggesting that Saddam was hiding nuclear, chemical and biological weapons programs from U.N. inspectors. He also promoted the erroneous allegation that the Iraqi dictator backed al Qaida’s Sept. 11, 2001, attacks on the United States. Shortly after former President George W. Bush took office in 2001, Woolsey visited Britain on a Defense Department trip in a fruitless hunt for evidence that Saddam masterminded the 1993 attack on the World Trade Center in New York. He made a second visit to Britain for the same purpose shortly after Sept. 11, and again came up empty. At the time of his second trip, Woolsey was a member of the Defense Policy Board, a panel of outside advisers to the Defense Department that advocated Saddam’s overthrow even in the absence of any evidence of his complicity in 9/11. The following year, he arranged for the Defense Intelligence Agency to debrief an Iraqi defector who claimed that Iraq had mobile biological-warfare laboratories disguised as yogurt and milk trucks. The man was later determined to be a fabricator. In 2000, Woolsey briefly served as a corporate officer of a foundation that managed U.S. funding for the Iraqi National Congress, the exile group that produced a series of defectors who peddled false information to bolster the allegations that Saddam was hiding illicit weapons programs. No such weapons or facilities have ever been found.",politicsNews,"September 12, 2016",1
WATCH DINESH D’SOUZA’S GREAT COMEBACK To A Student Who Called Him A “Hack” [Video],"If you want to call me a hack, you should probably be able to point out at least one thing I said that was demonstrably false. pic.twitter.com/3UCo3z2umH  Dinesh D Souza (@DineshDSouza) March 26, 2017",politics,"Mar 26, 2017",0
Iran re-opens border crossing with Iraqi Kurdistan region: state media,"BEIRUT (Reuters) - Iran opened a border crossing with the Kurdistan region of Iraq Wednesday after having closed it following last month s vote in favor of independence in the Kurdish area, Iranian state media reported. Iran backs the Shi ite-led central government in Baghdad in its opposition to Kurdish secession, and Iranian-backed militias assisted government forces when they seized a number of Kurdish cities last week.   The decision comes on the same day as the Kurdish Regional Government offered to put their independence drive on hold, stepping up efforts to resolve a crisis in relations with Baghdad via dialogue rather than military means.  After the referendum and changes within the Kurdistan region our borders with the Kurdistan region of Iraq were closed... today the Bashmagh border is open,  Jahangir Bakhshi, the head of customs for the border crossing, said, according to the Islamic Republic of Iran Broadcasting (IRIB) news agency. The report made no mention the KRG s offer for resolving the dispute through talks. The Bashmagh border crossing is located approximately 50 kilometers (31 miles) east of the city of Sulaimaniya in Iraqi Kurdistan. Last week, Iraqi security forces took control of several cities, including the oil-rich Kirkuk, from Kurdish forces in a lightning assault. Shi ite fighters from the Popular Mobilization Forces (PMF), many of whom have been armed and trained by Iran, took part in the military action. Prior to the assault, Major-General Qassem Soleimani, commander of foreign operations for Iran s elite Revolutionary Guards, traveled to Iraq s Kurdistan region to encourage Kurdish leaders to withdraw their forces, known as Peshmerga, from Kirkuk. Peshmerga commanders have accused Iran of orchestrating the operation, a charge Iranian officials have denied. Bakshi said on Wednesday that it was not clear when the other borders points between Iran and the Kurdistan region of Iraq would reopen. There is approximately 20 billion dollars of annual cross border trade through the Bashmagh border point Bakhshi said, according to IRIB.",worldnews,"October 25, 2017",1
